City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
59,Sapouy,11.5544,-1.7736,84.74,50,95,3.65,BF,overcast clouds,2022-06-29 19:57:52
60,Gat,31.61,34.7642,77.81,100,0,6.6,IL,clear sky,2022-06-29 19:57:53
61,Berlin,52.5244,13.4105,72.99,56,75,8.05,DE,broken clouds,2022-06-29 19:57:53
62,Carnarvon,-24.8667,113.6333,62.65,49,0,20.13,AU,clear sky,2022-06-29 19:55:40
63,Jamestown,42.097,-79.2353,78.53,63,49,4.0,US,scattered clouds,2022-06-29 19:56:09
64,Tabuk,17.4189,121.4443,73.45,95,100,3.13,PH,overcast clouds,2022-06-29 19:57:54
65,Castro,-24.7911,-50.0119,59.25,68,0,6.13,BR,clear sky,2022-06-29 19:57:54
66,The Valley,18.217,-63.0578,86.14,70,40,20.71,AI,haze,2022-06-29 19:57:54
67,Poum,-20.2333,164.0167,72.82,78,100,11.79,NC,overcast clouds,2022-06-29 19:57:55
68,Plonsk,52.6235,20.3755,70.61,84,9,4.41,PL,clear sky,2022-06-29 19:57:55
69,Elvas,38.8815,-7.1628,75.42,40,46,16.28,PT,scattered clouds,2022-06-29 19:57:55
70,Olinda,-8.0089,-34.8553,73.13,94,75,10.36,BR,moderate rain,2022-06-29 19:57:56
71,Bethel,41.3712,-73.414,85.05,47,1,1.01,US,clear sky,2022-06-29 19:57:56
72,Portland,45.5234,-122.6762,74.34,58,100,5.99,US,overcast clouds,2022-06-29 19:55:30
73,Mahebourg,-20.4081,57.7,70.09,56,40,8.05,MU,scattered clouds,2022-06-29 19:57:57
74,Livny,52.4253,37.6069,57.06,76,49,7.47,RU,scattered clouds,2022-06-29 19:57:57
75,Ziro,27.6333,93.8333,58.71,99,100,0.81,IN,overcast clouds,2022-06-29 19:57:58
76,Avarua,-21.2078,-159.775,77.05,78,40,6.91,CK,scattered clouds,2022-06-29 19:57:58
77,Dikson,73.5069,80.5464,32.59,97,100,11.16,RU,overcast clouds,2022-06-29 19:57:58
78,Lakshmeshwar,15.1333,75.4667,73.69,85,100,14.41,IN,overcast clouds,2022-06-29 19:57:59
79,Kasongo-Lunda,-6.4667,16.8167,70.93,41,67,2.1,CD,broken clouds,2022-06-29 19:57:59
80,East London,-33.0153,27.9116,63.43,39,0,5.97,ZA,clear sky,2022-06-29 19:58:00
81,Shiraoi,42.55,141.35,64.2,99,100,6.51,JP,overcast clouds,2022-06-29 19:58:00
82,Forrest City,35.0081,-90.7898,87.98,35,0,6.67,US,clear sky,2022-06-29 19:58:00
83,Roma,43.2128,-75.4557,75.51,51,100,3.0,US,overcast clouds,2022-06-29 19:58:01
84,Nizhnevartovsk,60.9344,76.5531,53.62,100,75,18.01,RU,light intensity shower rain,2022-06-29 19:58:01
85,Tasiilaq,65.6145,-37.6368,38.1,91,100,4.81,GL,overcast clouds,2022-06-29 19:58:02
86,Hervey Bay,-25.2986,152.8535,61.21,88,93,10.71,AU,overcast clouds,2022-06-29 19:58:02
87,Koslan,63.4564,48.8989,51.19,54,21,9.17,RU,few clouds,2022-06-29 19:58:02
88,Tuatapere,-46.1333,167.6833,46.83,88,97,6.67,NZ,overcast clouds,2022-06-29 19:58:02
89,Hobart,-42.8794,147.3294,46.26,89,75,6.91,AU,broken clouds,2022-06-29 19:55:22
90,Jalu,29.0331,21.5482,89.58,28,0,16.42,LY,clear sky,2022-06-29 19:58:03
91,Nanakuli,21.3906,-158.1547,80.62,64,100,15.39,US,overcast clouds,2022-06-29 19:58:03
92,Upernavik,72.7868,-56.1549,35.1,89,99,8.61,GL,overcast clouds,2022-06-29 19:58:04
93,Port Elizabeth,-33.918,25.5701,53.89,58,0,5.75,ZA,clear sky,2022-06-29 19:57:34
94,Plettenberg Bay,-34.0527,23.3716,62.2,50,67,5.55,ZA,broken clouds,2022-06-29 19:58:04
95,Waipawa,-41.4122,175.5153,39.87,90,1,4.94,NZ,clear sky,2022-06-29 19:58:05
96,Bathsheba,13.2167,-59.5167,86.61,70,40,27.63,BB,scattered clouds,2022-06-29 19:58:05
97,Karpathos,35.507,27.2132,75.16,73,20,19.57,GR,few clouds,2022-06-29 19:58:05
98,Rikitea,-23.1203,-134.9692,72.25,77,68,13.89,PF,light rain,2022-06-29 19:58:06
99,Yongchang,30.0381,119.7317,73.11,96,100,1.57,CN,overcast clouds,2022-06-29 19:58:06
100,Mantua,45.1667,10.7833,83.44,75,2,1.99,IT,clear sky,2022-06-29 19:58:07
101,Dhidhdhoo,6.8833,73.1,81.03,79,100,22.53,MV,overcast clouds,2022-06-29 19:58:07
102,Ko Samui,9.5357,99.9357,83.35,77,100,15.46,TH,overcast clouds,2022-06-29 19:58:07
103,Pevek,69.7008,170.3133,34.86,94,100,13.76,RU,overcast clouds,2022-06-29 19:58:08
104,Caravelas,-17.7125,-39.2481,70.66,78,5,6.62,BR,clear sky,2022-06-29 19:58:08
105,Hami,42.8,93.45,80.56,25,0,8.03,CN,clear sky,2022-06-29 19:58:08
106,Axim,4.8699,-2.2405,76.82,89,100,6.89,GH,moderate rain,2022-06-29 19:58:09
107,Santa Cruz Cabralia,-16.2781,-39.0247,73.63,78,75,6.91,BR,broken clouds,2022-06-29 19:58:09
