City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bengkulu,ID,2022-06-29 15:55:48,-3.8004,102.2655,75.36,95,100,8.93
68,Bredasdorp,ZA,2022-06-29 15:55:49,-34.5322,20.0403,62.17,57,10,1.81
69,Yatou,CN,2022-06-29 15:55:49,37.15,122.3833,72.61,97,70,6.73
70,Avera,US,2022-06-29 15:55:49,33.194,-82.5271,78.39,62,99,6.73
71,Aksay,RU,2022-06-29 15:55:50,47.26,39.87,84.42,45,16,11.99
72,Khatanga,RU,2022-06-29 15:55:50,71.9667,102.5,52.38,43,2,11.95
73,Esmeralda,CU,2022-06-29 15:55:51,21.8525,-78.1169,87.1,61,26,10.71
74,Saryozek,KZ,2022-06-29 15:55:51,44.3583,77.9753,74.84,41,4,7.81
75,Hithadhoo,MV,2022-06-29 15:55:51,-0.6,73.0833,84.22,73,95,10.76
76,Buchanan,LR,2022-06-29 15:55:52,5.8808,-10.0467,81.32,75,99,7.96
77,Buala,SB,2022-06-29 15:55:52,-8.145,159.5921,80.01,83,8,9.95
78,Port Elizabeth,ZA,2022-06-29 15:55:53,-33.918,25.5701,68.31,33,0,4.0
79,Avarua,CK,2022-06-29 15:55:53,-21.2078,-159.775,69.85,94,20,2.3
80,Jamestown,US,2022-06-29 15:55:53,42.097,-79.2353,74.95,53,0,10.36
81,Alofi,NU,2022-06-29 15:55:54,-19.0595,-169.9187,73.29,94,17,2.3
82,Warrington,GB,2022-06-29 15:55:54,53.3925,-2.5802,68.86,77,75,5.99
83,Roald,NO,2022-06-29 15:55:55,62.5833,6.1333,78.17,64,0,4.61
84,Airai,TL,2022-06-29 15:55:55,-8.9266,125.4092,59.7,98,100,2.73
85,Arraial Do Cabo,BR,2022-06-29 15:53:28,-22.9661,-42.0278,84.16,51,0,4.61
86,Faanui,PF,2022-06-29 15:55:56,-16.4833,-151.75,79.2,75,12,20.47
