City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
231,Vieques,PR,88.72,broken clouds,18.425,-65.8329,Río Grande
233,Sao Felix Do Xingu,BR,88.61,overcast clouds,-6.6447,-51.995,São Félix do Xingu
234,Palmer,US,84.15,scattered clouds,42.1584,-72.3287,Palmer
235,Birjand,IR,84.67,clear sky,32.8663,59.2211,Birjand
237,Kudahuvadhoo,MV,82.47,overcast clouds,2.6708,72.8944,Kudahuvadhoo
243,Salvador,SV,88.05,scattered clouds,13.8333,-88.9167,Tejutepeque
244,Antonina,BR,76.68,clear sky,-25.4286,-48.7119,Antonina
246,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,San Cristobal
248,Sheridan,US,85.01,broken clouds,44.8333,-106.9173,Sheridan
255,Samarai,PG,80.51,scattered clouds,-10.6167,150.6667,Magesina
256,Tifton,US,89.31,heavy intensity rain,31.4505,-83.5085,Tifton
258,Bubaque,GW,80.55,scattered clouds,11.2833,-15.8333,Bubaque
259,Winslow,US,84.38,broken clouds,35.0242,-110.6974,Winslow
261,Dustlik,UZ,88.05,clear sky,40.5247,68.0358,Dustlik
264,Pontianak,ID,75.18,broken clouds,-0.0333,109.3333,Pontianak
267,Sao Jose Da Coroa Grande,BR,76.19,overcast clouds,-8.8978,-35.1478,São José da Coroa Grande
269,Neiafu,TO,77.68,few clouds,-18.65,-173.9833,Neiafu
271,Haines Junction,CA,78.01,few clouds,60.7522,-137.5108,Haines Junction
279,Itarema,BR,79.65,overcast clouds,-2.9248,-39.9167,Itarema
282,Les Cayes,HT,86.13,overcast clouds,18.2,-73.75,Les Cayes
283,Balud,PH,80.56,overcast clouds,10.1476,123.6953,Carcar City
287,Gigmoto,PH,80.4,overcast clouds,13.7796,124.39,Gigmoto
290,Ban Phai,TH,82.62,broken clouds,16.06,102.731,Nai Mueang
291,Vadso,NO,83.28,clear sky,70.0744,29.7487,Vadso
292,Brigantine,US,85.19,clear sky,39.4101,-74.3646,Atlantic City
294,Bhimunipatnam,IN,81.91,overcast clouds,17.8833,83.4333,Visakhapatnam
296,Westport,US,86.31,clear sky,41.1415,-73.3579,Norwalk
300,Kloulklubed,PW,83.97,broken clouds,7.0419,134.2556,Klouklubed
302,Panguiranan,PH,81.66,moderate rain,12.0699,123.3185,Milagros
303,Mahuva,IN,83.84,overcast clouds,21.0914,71.7622,Mahuva
308,Logan,US,89.04,broken clouds,41.7355,-111.8344,Logan
314,Mazatan,MX,84.72,broken clouds,14.8667,-92.45,Mazatán
317,Pochutla,MX,89.82,scattered clouds,15.7432,-96.4661,Pochutla District
319,Kapoeta,SS,75.45,few clouds,4.7717,33.5903,Kapoeta
320,Mae Chan,TH,76.78,overcast clouds,20.1467,99.8526,Ban Du
321,Auki,SB,77.43,few clouds,-8.7676,160.7034,Auki
322,Thinadhoo,MV,82.87,broken clouds,0.5333,72.9333,
324,Torbat-E Jam,IR,86.95,clear sky,35.244,60.6225,Torbat-e-Jam
325,Apodi,BR,84.42,light rain,-5.6642,-37.7989,Apodi
326,Kankan,GN,81.59,broken clouds,10.3854,-9.3057,Kankan
327,Marrakesh,MA,80.67,clear sky,31.6315,-8.0083,Marrakesh
335,Masallatah,LY,86.02,clear sky,32.6167,14.0,Msallata
340,Cavalcante,BR,81.16,clear sky,-13.7975,-47.4583,Cavalcante
341,Aksu,CN,82.22,clear sky,41.1231,80.2644,Aksu Prefecture
342,Alofi,NU,75.09,broken clouds,-19.0595,-169.9187,Alofi
345,Sarangani,PH,83.59,overcast clouds,5.4033,125.4636,Municipality of Sarangani
346,Campina Verde,BR,81.54,clear sky,-19.5356,-49.4864,Campina Verde
352,Mayo,US,88.93,clear sky,38.8876,-76.5119,Mayo
355,Nantucket,US,75.09,clear sky,41.2835,-70.0995,Nantucket
357,Yaan,NG,76.5,overcast clouds,7.3833,8.5667,Iorjan
360,Correntina,BR,82.0,clear sky,-13.3433,-44.6367,Correntina
361,Madhipura,IN,77.9,overcast clouds,25.9167,86.7833,Madhepura
363,Kahului,US,78.84,broken clouds,20.8947,-156.47,Kahului
367,Gombe,NG,77.2,moderate rain,10.2897,11.1673,Gombe
368,Shimoda,JP,75.11,overcast clouds,34.6667,138.95,Shimoda
369,Salamiyah,SY,76.51,clear sky,35.0113,37.0532,Salamiyah
370,Sterling,US,89.4,broken clouds,39.0062,-77.4286,Sterling
371,Valley City,US,75.72,clear sky,46.9233,-98.0032,Valley City
374,Aguililla,MX,81.55,overcast clouds,18.7333,-102.7333,Aguililla
375,La Ciotat,FR,75.09,clear sky,43.1748,5.6045,La Ciotat
378,Marsh Harbour,BS,82.31,overcast clouds,26.5412,-77.0636,Marsh Harbour
383,Santa Cruz,BO,78.85,clear sky,-17.8,-63.1667,Santa Cruz de la Sierra
386,Pedernales,DO,87.57,overcast clouds,18.0384,-71.744,Anse-à-Pitres
387,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Vila Velha
388,Columbus,US,87.33,clear sky,39.9612,-82.9988,Columbus
390,Riohacha,CO,86.11,overcast clouds,11.5444,-72.9072,Riohacha
391,Garachine,PA,81.95,scattered clouds,8.0647,-78.3628,Garachine
392,Sur,OM,86.76,overcast clouds,22.5667,59.5289,Sur
396,San Policarpo,PH,79.43,light rain,12.1791,125.5072,Oras
399,Maragogi,BR,75.65,broken clouds,-9.0122,-35.2225,Maragogi
401,Honiara,SB,76.87,clear sky,-9.4333,159.95,Honiara
405,Guayaramerin,BO,89.78,broken clouds,-10.8368,-65.3614,Guajará-Mirim
407,Nova Olimpia,BR,86.11,clear sky,-14.7972,-57.2881,Nova Olímpia
409,Puerto Escondido,MX,86.9,scattered clouds,15.85,-97.0667,Puerto Escondido
414,Ternate,ID,80.13,scattered clouds,0.8,127.4,Ternate
415,Kavaratti,IN,82.08,overcast clouds,10.5669,72.642,Kavaratti
421,Faya,SA,78.91,scattered clouds,18.3851,42.4509,Faya
422,Ligayan,PH,84.02,light rain,4.6533,119.4706,Sibutu
425,Barreirinhas,BR,79.77,light rain,-2.7469,-42.8264,Barreirinhas
429,Cayenne,GF,75.24,light rain,4.9333,-52.3333,Cayenne
431,Bengbu,CN,78.17,broken clouds,32.9408,117.3608,Bengbu
433,Korla,CN,82.02,clear sky,41.7597,86.1469,Bayingolin Mongol Autonomous Prefecture
437,Khuzdar,PK,82.2,overcast clouds,27.7384,66.6434,Khuzdar
438,Acapulco,MX,86.5,scattered clouds,16.8634,-99.8901,Acapulco
442,Bull Savanna,JM,81.19,moderate rain,17.8868,-77.5902,Alligator Pond
447,Abnub,EG,86.43,clear sky,27.2696,31.1511,Abnub
450,Buala,SB,80.19,clear sky,-8.145,159.5921,Buala
452,Weyburn,CA,83.79,overcast clouds,49.6668,-103.8511,Weyburn
459,Pacific Grove,US,78.39,scattered clouds,36.6177,-121.9166,Monterey
462,Winsum,NL,75.22,clear sky,53.33,6.5208,Bedum
465,Denpasar,ID,78.46,light rain,-8.65,115.2167,Denpasar
468,Santa Maria Del Oro,MX,79.36,light rain,25.9333,-105.3667,Centro
469,Ximei,CN,76.53,broken clouds,24.9639,118.3794,Quanzhou
481,Terra Santa,BR,85.01,overcast clouds,-2.1042,-56.4869,Terra Santa
483,Misratah,LY,85.62,clear sky,32.3754,15.0925,Misrata
485,Kupang,ID,76.91,overcast clouds,-10.1667,123.5833,Kupang
487,Grants,US,80.83,clear sky,35.1473,-107.8514,Grants
490,Chabahar,IR,83.55,overcast clouds,25.2919,60.643,Chah Bahar
492,Taguatinga,BR,86.94,clear sky,-12.3857,-46.5711,Esc Mun Manoel Alves
495,Salinopolis,BR,81.61,clear sky,-0.6136,-47.3561,Salinópolis
506,Port Blair,IN,81.7,overcast clouds,11.6667,92.75,Port Blair
